"ID","NAME","CAPACITY","ROOMTYPE","ADDRESS","MUNICIPALITY"
67,"ESPAÇO MULTIUSOS AO AR LIVRE - VIZELA",8000,12,"RUA DA PORTELA",314
68,"AUDITÓRIO DO CENTRO CULTURAL DE VILA DAS AVES",160,7,"LUGAR DE FONTAINHAS",1314
69,"BANDA UNIÃO MUSICAL PARAMENSE-SEDE",320,3,"LG POCAS-PARAMOS",107
70,"SALA DE ESPETÁCULOS / BOITE E RESTAURANTE BACCARÁ",240,16,"RUA 19, N.º 85",107
71,"BAR PANORÂMICO DO CASINO DE ESPINHO",120,16,"RUA 19, N.º 85",107
72,"SALÃO ATLÂNTICO DO CASINO DE ESPINHO",500,16,"RUA 19, N.º 85",107
73,"AUDITÓRIO DA ACADEMIA DE MÚSICA DE ESPINHO",286,7,"RUA 34, N.º 884",107
74,"GRANDE AUDITÓRIO DO CENTRO MULTI-MEIOS DE ESPINHO",285,7,"AVENIDA 24, N.º 800",107
75,"AUDITÓRIO DA BIBLIOTECA MUNICIPAL DE ESPINHO",50,7,"AVENIDA 24",107
76,"AUDITÓRIO MUNICIPAL DE GONDOMAR",233,7,"AVENIDA 25 DE ABRIL, 103",1304
77,"CINEMA PARQUE NASCENTE - SALA 1",226,15,"PARQUE NASCENTE - RIO TINTO",1304
78,"CINEMA PARQUE NASCENTE - SALA 2",315,15,"PARQUE NASCENTE - RIO TINTO",1304
79,"CINEMA PARQUE NASCENTE - SALA 3",494,15,"PARQUE NASCENTE - RIO TINTO",1304
80,"CINEMA PARQUE NASCENTE - SALA 4",359,15,"PARQUE NASCENTE - RIO TINTO",1304
81,"CINEMA PARQUE NASCENTE - SALA 5",265,15,"PARQUE NASCENTE - RIO TINTO",1304
82,"CINEMA PARQUE NASCENTE - SALA 6",143,15,"PARQUE NASCENTE - RIO TINTO",1304
83,"CINEMA PARQUE NASCENTE - SALA 7",166,15,"PARQUE NASCENTE - RIO TINTO",1304
84,"CINEMA PARQUE NASCENTE - SALA 8",101,15,"PARQUE NASCENTE - RIO TINTO",1304
85,"CINEMA PARQUE NASCENTE - SALA 9",101,15,"PARQUE NASCENTE - RIO TINTO",1304
86,"CINEMA PARQUE NASCENTE - SALA 10",90,15,"PARQUE NASCENTE - RIO TINTO",1304
87,"CINEMA PARQUE NASCENTE - SALA 11",103,15,"PARQUE NASCENTE - RIO TINTO",1304
88,"CINEMA PARQUE NASCENTE - SALA 12",90,15,"PARQUE NASCENTE - RIO TINTO",1304
89,"PAVILHÃO MULTIUSOS DE GONDOMAR",8400,12,"AV MULTIUSOS",1304
90,"CINEMA MAIASHOPPING - SALA 1",279,15,"CENTRO COMERCIAL MAIASHOPPING-ARDEGÃES-ÁGUAS SANTAS",1306
91,"CINEMA MAIASHOPPING - SALA 2",172,15,"CENTRO COMERCIAL MAIASHOPPING-ARDEGÃES-ÁGUAS SANTAS",1306
92,"CINEMA MAIASHOPPING - SALA 3",173,15,"CENTRO COMERCIAL MAIASHOPPING-ARDEGÃES-ÁGUAS SANTAS",1306
93,"CINEMA MAIASHOPPING - SALA 4",145,15,"CENTRO COMERCIAL MAIASHOPPING-ARDEGÃES-ÁGUAS SANTAS",1306
94,"CINEMA MAIASHOPPING - SALA 5",146,15,"CENTRO COMERCIAL MAIASHOPPING-ARDEGÃES-ÁGUAS SANTAS",1306
95,"CINEMAS VIVACINE DA MAIA - SALA 1",156,15,"RUA FREDERICO ULRICH",1306
96,"CINEMAS VIVACINE DA MAIA - SALA 2",60,15,"RUA FREDERICO ULRICH",1306
97,"CINEMAS VIVACINE DA MAIA - SALA 3",131,15,"RUA FREDERICO ULRICH",1306
98,"CINEMAS VIVACINE DA MAIA - SALA 4",70,15,"RUA FREDERICO ULRICH",1306
99,"CINE TEATRO CONSTANTINO NERY-SALÃO POLIVALENTE",235,14,"MATOSINHOS",1308
100,"CAFÉ CONCERTO DO CINE TEATRO CONSTANTINO NERY",200,2,"MATOSINHOS",1308
101,"CINE TEATRO DO SALÃO PAROQUIAL DE MATOSINHOS",498,14,"R SILVA CUNHA 107",1308
102,"CENTRO PAROQUIAL COMISSÃO FABRIQ PAR PARAFITA-SEDE",500,3,"PARAFITA",1308
103,"SALÃO PAROQUIAL S MAMEDE DE INFESTA",378,3,"R SANTOS DIAS-S MAMEDE DE INFESTA",1308
